,recID,ingredients,tags,allergies,info
0,53f45a29ff604dac328b456e,salz* butter* olivenöl* zucker* gelbe paprika zwiebel petersilie rote paprika couscous geflügelbrühe chiliflocken tomatenmark pfeffer* bratwürstchen ,,weizen milch kann spuren von allergenen enthalten ,salz* butter* olivenöl* zucker* gelbe paprika zwiebel petersilie rote paprika couscous geflügelbrühe chiliflocken tomatenmark pfeffer* bratwürstchen salz* butter* olivenöl* zucker* gelbe paprika zwiebel petersilie rote paprika couscous geflügelbrühe chiliflocken tomatenmark pfeffer* bratwürstchen salz* butter* olivenöl* zucker* gelbe paprika zwiebel petersilie rote paprika couscous geflügelbrühe chiliflocken tomatenmark pfeffer* bratwürstchen weizen milch kann spuren von allergenen enthalten weizen milch kann spuren von allergenen enthalten weizen milch kann spuren von allergenen enthalten 
1,5469feafff604d2c8b8b4569,öl* salz* zucker* mozzarella basilikum frische gnocchi schalotte stückige tomaten italienische kräutermischung pfeffer* knoblauchzehe hartkäse ital. art bunte kirschtomaten frischer majoran ,vegetarisch zeit sparen ,ei weizen milch kann spuren von allergenen enthalten ,öl* salz* zucker* mozzarella basilikum frische gnocchi schalotte stückige tomaten italienische kräutermischung pfeffer* knoblauchzehe hartkäse ital. art bunte kirschtomaten frischer majoran öl* salz* zucker* mozzarella basilikum frische gnocchi schalotte stückige tomaten italienische kräutermischung pfeffer* knoblauchzehe hartkäse ital. art bunte kirschtomaten frischer majoran öl* salz* zucker* mozzarella basilikum frische gnocchi schalotte stückige tomaten italienische kräutermischung pfeffer* knoblauchzehe hartkäse ital. art bunte kirschtomaten frischer majoran vegetarisch zeit sparen ei weizen milch kann spuren von allergenen enthalten ei weizen milch kann spuren von allergenen enthalten ei weizen milch kann spuren von allergenen enthalten 
2,54c91e3e6ced6e5f178b4571,rinderhüftsteak rosmarin öl* salz* pfefferkörner crème fraîche butter* kartoffeln brühe mehl* topinambur lauch zitronenpfeffer ,leichter genuss ,milch weizen kann spuren von allergenen enthalten ,rinderhüftsteak rosmarin öl* salz* pfefferkörner crème fraîche butter* kartoffeln brühe mehl* topinambur lauch zitronenpfeffer rinderhüftsteak rosmarin öl* salz* pfefferkörner crème fraîche butter* kartoffeln brühe mehl* topinambur lauch zitronenpfeffer rinderhüftsteak rosmarin öl* salz* pfefferkörner crème fraîche butter* kartoffeln brühe mehl* topinambur lauch zitronenpfeffer leichter genuss milch weizen kann spuren von allergenen enthalten milch weizen kann spuren von allergenen enthalten milch weizen kann spuren von allergenen enthalten 
3,54c91e716ced6e39178b456c,roter chili öl* salz* pfefferkörner zucker* karotte zwiebel petersilie brokkoli sesam rote paprika erdnussbutter mehl* hähnchenoberkeule hühnerbrühe* ,scharf low carb ,sesam erdnüsse weizen ,roter chili öl* salz* pfefferkörner zucker* karotte zwiebel petersilie brokkoli sesam rote paprika erdnussbutter mehl* hähnchenoberkeule hühnerbrühe* roter chili öl* salz* pfefferkörner zucker* karotte zwiebel petersilie brokkoli sesam rote paprika erdnussbutter mehl* hähnchenoberkeule hühnerbrühe* roter chili öl* salz* pfefferkörner zucker* karotte zwiebel petersilie brokkoli sesam rote paprika erdnussbutter mehl* hähnchenoberkeule hühnerbrühe* scharf low carb sesam erdnüsse weizen sesam erdnüsse weizen sesam erdnüsse weizen 
4,54c91ed56ced6e5f178b4572,salz* pfefferkörner olivenöl* essig* karotte rucola zucchini walnüsse kochsahne lila karotte quicheteig eier apfel ,vegetarisch ,weizen schalenfrüchte schwefel milch kann spuren von allergenen enthalten ,salz* pfefferkörner olivenöl* essig* karotte rucola zucchini walnüsse kochsahne lila karotte quicheteig eier apfel salz* pfefferkörner olivenöl* essig* karotte rucola zucchini walnüsse kochsahne lila karotte quicheteig eier apfel salz* pfefferkörner olivenöl* essig* karotte rucola zucchini walnüsse kochsahne lila karotte quicheteig eier apfel vegetarisch weizen schalenfrüchte schwefel milch kann spuren von allergenen enthalten weizen schalenfrüchte schwefel milch kann spuren von allergenen enthalten weizen schalenfrüchte schwefel milch kann spuren von allergenen enthalten 
5,54c91f1b6ced6e811d8b456e,öl* salz* pfefferkörner butter* zwiebel schnittlauch speckwürfel schnupfnudeln sauerkraut geriebene muskatnuss ,zeit sparen ,ei weizen milch kann spuren von allergenen enthalten ,öl* salz* pfefferkörner butter* zwiebel schnittlauch speckwürfel schnupfnudeln sauerkraut geriebene muskatnuss öl* salz* pfefferkörner butter* zwiebel schnittlauch speckwürfel schnupfnudeln sauerkraut geriebene muskatnuss öl* salz* pfefferkörner butter* zwiebel schnittlauch speckwürfel schnupfnudeln sauerkraut geriebene muskatnuss zeit sparen ei weizen milch kann spuren von allergenen enthalten ei weizen milch kann spuren von allergenen enthalten ei weizen milch kann spuren von allergenen enthalten 
6,54c91f526ced6e5f178b4573,roter chili öl* salz* jasminreis karotte knoblauch frühlingszwiebel cashewkerne brokkoli sojasoße honig* ingwer chinakohl tofu wasser* ,laktosefrei scharf vegetarisch ,soja weizen kann spuren von allergenen enthalten ,roter chili öl* salz* jasminreis karotte knoblauch frühlingszwiebel cashewkerne brokkoli sojasoße honig* ingwer chinakohl tofu wasser* roter chili öl* salz* jasminreis karotte knoblauch frühlingszwiebel cashewkerne brokkoli sojasoße honig* ingwer chinakohl tofu wasser* roter chili öl* salz* jasminreis karotte knoblauch frühlingszwiebel cashewkerne brokkoli sojasoße honig* ingwer chinakohl tofu wasser* laktosefrei scharf vegetarisch soja weizen kann spuren von allergenen enthalten soja weizen kann spuren von allergenen enthalten soja weizen kann spuren von allergenen enthalten 
7,54c91f806ced6e39178b456d,öl* salz* pfefferkörner zucker* tomate frischer oregano knoblauch rucola rote zwiebel mehl* tofu wasser* soja-sahne madras curry geriebener käse ,vegetarisch ,soja weizen milch kann spuren von allergenen enthalten ,öl* salz* pfefferkörner zucker* tomate frischer oregano knoblauch rucola rote zwiebel mehl* tofu wasser* soja-sahne madras curry geriebener käse öl* salz* pfefferkörner zucker* tomate frischer oregano knoblauch rucola rote zwiebel mehl* tofu wasser* soja-sahne madras curry geriebener käse öl* salz* pfefferkörner zucker* tomate frischer oregano knoblauch rucola rote zwiebel mehl* tofu wasser* soja-sahne madras curry geriebener käse vegetarisch soja weizen milch kann spuren von allergenen enthalten soja weizen milch kann spuren von allergenen enthalten soja weizen milch kann spuren von allergenen enthalten 
8,54c91fbf6ced6e7c1d8b4572,öl* salz* pfefferkörner olivenöl* essig* zucker* kirschtomaten rote zwiebel kidneybohnen salatmischung baguette mehl* orange haselnüsse sprossenmischung gemahlener kumin ,laktosefrei vegan vegetarisch ,schalenfrüchte schwefel weizen sesam kann spuren von allergenen enthalten ,öl* salz* pfefferkörner olivenöl* essig* zucker* kirschtomaten rote zwiebel kidneybohnen salatmischung baguette mehl* orange haselnüsse sprossenmischung gemahlener kumin öl* salz* pfefferkörner olivenöl* essig* zucker* kirschtomaten rote zwiebel kidneybohnen salatmischung baguette mehl* orange haselnüsse sprossenmischung gemahlener kumin öl* salz* pfefferkörner olivenöl* essig* zucker* kirschtomaten rote zwiebel kidneybohnen salatmischung baguette mehl* orange haselnüsse sprossenmischung gemahlener kumin laktosefrei vegan vegetarisch schalenfrüchte schwefel weizen sesam kann spuren von allergenen enthalten schalenfrüchte schwefel weizen sesam kann spuren von allergenen enthalten schalenfrüchte schwefel weizen sesam kann spuren von allergenen enthalten 
9,54c9208c6ced6e811d8b456f,öl* salz* pfefferkörner olivenöl* essig* zucker* kartoffeln tomate knoblauch mozzarella basilikum milch* ei* putenbrust semmelbrösel salatmischung mehl* wildkräuter geriebener hartkäse ,vegetarisch ,milch ei weizen schwefel kann spuren von allergenen enthalten ,öl* salz* pfefferkörner olivenöl* essig* zucker* kartoffeln tomate knoblauch mozzarella basilikum milch* ei* putenbrust semmelbrösel salatmischung mehl* wildkräuter geriebener hartkäse öl* salz* pfefferkörner olivenöl* essig* zucker* kartoffeln tomate knoblauch mozzarella basilikum milch* ei* putenbrust semmelbrösel salatmischung mehl* wildkräuter geriebener hartkäse öl* salz* pfefferkörner olivenöl* essig* zucker* kartoffeln tomate knoblauch mozzarella basilikum milch* ei* putenbrust semmelbrösel salatmischung mehl* wildkräuter geriebener hartkäse vegetarisch milch ei weizen schwefel kann spuren von allergenen enthalten milch ei weizen schwefel kann spuren von allergenen enthalten milch ei weizen schwefel kann spuren von allergenen enthalten 
